Desc Carrera,Desc Materia,Calif Final,sexo,edad,Grado 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,9,F,22,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,6,M,23,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,7,M,21,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,7,M,21,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,6,M,21,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,6,M,21,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,7,M,22,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,8,M,22,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,8,M,22,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,8,M,22,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,8,M,22,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,5,F,20,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,8,F,20,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,10,F,20,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,8,F,20,6 
PREPARATORIA (NVO. PLAN),LITERATURA II,10,F,21,4 
PREPARATORIA (NVO. PLAN),LENGUA ADIC. AL ESPANOL III,10,F,21,4 
PREPARATORIA (NVO. PLAN),METODOLOGIA DE LA INVESTIGAC.,9,F,21,4 
PREPARATORIA (NVO. PLAN),BIOLOGIA II,10,F,21,4 
PREPARATORIA (NVO. PLAN),MATEMATICAS IV,10,F,21,4 
PREPARATORIA (NVO. PLAN),CALCULO DIFERENCIAL,7,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA I,7,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,8,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,7,M,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,8,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,8,M,19,6 
PREPARATORIA (NVO. PLAN),TEM.SELEC.DE CIENCS D/LA S.II,8,M,19,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,9,M,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,10,M,19,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,8,F,21,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,9,F,21,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,9,F,21,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,9,F,21,6 
PREPARATORIA (NVO. PLAN),HISTORIA DEL ARTE,9,F,21,6 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,7,M,19,6 
PREPARATORIA (NVO. PLAN),HISTORIA DEL ARTE,8,M,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,8,M,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,10,M,20,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,10,M,20,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,9,M,20,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,9,M,20,6 
PREPARATORIA (NVO. PLAN),CALCULO INTEGRAL,9,M,20,6 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,8,M,20,6 
PREPARATORIA (NVO. PLAN),LENGUA ADICIONAL AL ESPANOL I,7,M,19,1 
PREPARATORIA (NVO. PLAN),COMPORTAMIENTO ORGANIZAC. I,9,F,20,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,6,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,6,M,19,6 
PREPARATORIA (NVO. PLAN),CALCULO INTEGRAL,7,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,8,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,9,M,19,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,8,M,20,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,7,M,20,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,8,M,20,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,7,M,20,6 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,6,M,20,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,10,F,19,6 
PREPARATORIA (NVO. PLAN),CALCULO DIFERENCIAL,8,F,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,7,F,19,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,8,F,19,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,8,F,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,9,M,20,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,9,M,20,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,7,M,20,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,7,M,20,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,8,M,20,6 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,8,M,20,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,10,M,20,6 
PREPARATORIA (NVO. PLAN),COMPORTAMIENTO ORGANIZAC. I,6,F,20,5 
PREPARATORIA (NVO. PLAN),ECOLOGIA Y MEDIO AMBIENTE,7,F,20,5 
PREPARATORIA (NVO. PLAN),DERECHO,6,F,20,5 
PREPARATORIA (NVO. PLAN),TECNOLOGIA I,5,F,20,5 
PREPARATORIA (NVO. PLAN),ADMINISTRACION I,7,F,20,5 
PREPARATORIA (NVO. PLAN),PSICOLOGIA,9,M,19,4 
PREPARATORIA (NVO. PLAN),METODOLOGIA DE LA INVESTIGAC.,8,M,19,4 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,8,F,18,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,9,F,18,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,10,F,18,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,10,F,18,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,8,F,18,6 
PREPARATORIA (NVO. PLAN),LENGUA ADICIONAL AL ESPANOL IV,10,F,19,4 
PREPARATORIA (NVO. PLAN),BIOLOGIA II,10,F,19,4 
PREPARATORIA (NVO. PLAN),METODOLOGIA DE LA INVESTIGAC.,9,F,19,4 
PREPARATORIA (NVO. PLAN),HISTORIA DE NUESTRO TIEMPO,10,F,19,4 
PREPARATORIA (NVO. PLAN),PSICOLOGIA,10,F,19,4 
PREPARATORIA (NVO. PLAN),MATEMATICAS III,9,F,19,4 
PREPARATORIA (NVO. PLAN),LITERATURA II,10,F,19,4 
PREPARATORIA (NVO. PLAN),MATEMATICAS IV,7,M,19,6 
PREPARATORIA (NVO. PLAN),CIENCIAS DE LA COMUNICACION,5,M,19,6 
PREPARATORIA (NVO. PLAN),HISTORIA DEL ARTE,6,M,19,6 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,5,M,19,6 
PREPARATORIA (NVO. PLAN),LENGUA ADICIONAL AL ESPANOL IV,7,F,21,5 
PREPARATORIA (NVO. PLAN),MATEMATICAS IV,7,F,21,5 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA I,7,F,21,5 
PREPARATORIA (NVO. PLAN),TEM.SELEC.DE CIENCS D/LA S.II,5,M,18,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,5,M,18,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,8,M,18,6 
PREPARATORIA (NVO. PLAN),CALCULO INTEGRAL,5,M,18,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,8,M,18,6 
PREPARATORIA (NVO. PLAN),BIOLOGIA II,5,M,19,4 
PREPARATORIA (NVO. PLAN),MATEMATICAS IV,5,M,19,4 
PREPARATORIA (NVO. PLAN),LENGUA ADICIONAL AL ESPANOL IV,5,M,19,4 
PREPARATORIA (NVO. PLAN),PSICOLOGIA,5,M,19,4 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,5,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,5,M,19,6 
PREPARATORIA (NVO. PLAN),CALCULO INTEGRAL,5,M,19,6 
