Desc_Carrera,Desc_Materia,Calif_Final,sexo,edad,Grado  
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,9.00,F,22.00,6  
PREPARATORIA,MATEMATICAS_FINANCIERAS,6.00,M,23.00,6  
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,7.00,M,21.00,6  
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,21.00,6  
PREPARATORIA,ADMINISTRACION_II,6.00,M,21.00,6  
PREPARATORIA,MATEMATICAS_FINANCIERAS,6.00,M,21.00,6  
PREPARATORIA,ADMINISTRACION_II,7.00,M,22.00,6  
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,M,22.00,6  
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,8.00,M,22.00,6  
PREPARATORIA,MATEMATICAS_FINANCIERAS,8.00,M,22.00,6  
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,M,22.00,6  
PREPARATORIA,MATEMATICAS_FINANCIERAS,5.00,F,20.00,6  
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,F,20.00,6  
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,10.00,F,20.00,6  
PREPARATORIA,ADMINISTRACION_II,8.00,F,20.00,6  
PREPARATORIA,LITERATURA_II,10.00,F,21.00,4  
PREPARATORIA,LENGUA_ADIC.AL_ESPANOL_III,10.00,F,21.00,4  
PREPARATORIA,METODOLOGIA_DE_LA_INVESTIGAC.,9.00,F,21.00,4  
PREPARATORIA,BIOLOGIA II,10.00,F,21.00,4  
PREPARATORIA,MATEMATICAS_IV,10.00,F,21.00,4  
PREPARATORIA,CALCULO_DIFERENCIAL,7.00,M,19.00,6  
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,7.00,M,19.00,6  
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,8.00,M,19.00,6  
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,7.00,M,19.00,6  
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,M,19.00,6  
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,8.00,M,19.00,6  
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,8.00,M,19.00,6  
PREPARATORIA,ADMINISTRACION_II,9.00,M,19.00,6  
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,10.00,M,19.00,6  
PREPARATORIA,MATEMATICAS_FINANCIERAS,8.00,F,21.00,6  
PREPARATORIA,ADMINISTRACION_II,9.00,F,21.00,6  
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,21.00,6  
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,F,21.00,6  
PREPARATORIA,HISTORIA_DEL_ARTE,9.00,F,21.00,6  
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,7.00,M,19.00,6  
PREPARATORIA,HISTORIA_DEL_ARTE,8.00,M,19.00,6  
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,M,19.00,6  
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,10.00,M,20.00,6  
PREPARATORIA,TECNOLOGIA_II,10.00,M,20.00,6  
PREPARATORIA,ADMINISTRACION_II,9.00,M,20.00,6  
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,M,20.00,6  
PREPARATORIA,CALCULO_INTEGRAL,9.00,M,20.00,6  
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,8.00,M,20.00,6  
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_I,7.00,M,19.00,1  
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_I,9.00,F,20.00,6  
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,6.00,M,19.00,6  
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,6.00,M,19.00,6  
PREPARATORIA,CALCULO_INTEGRAL,7.00,M,19.00,6  
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,8.00,M,19.00,6  
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,9.00,M,19.00,6  
PREPARATORIA,ADMINISTRACION_II,8.00,M,20.00,6  
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,20.00,6  
